status	h3k27me3_percentile	h3k36me3_percentile
BAE	0.265291178	0.753575121
BAE	0.192970365	0.790661613
BAE	0.329815644	0.658554445
BAE	0.184614059	0.602515507
BAE	0.410363542	0.854066161
BAE	0.266044969	0.76617419
BAE	0.334381461	0.899422812
BAE	0.026576499	0.518780152
BAE	0.302593039	0.896838387
BAE	0.299534804	0.88029807
BAE	0.051817712	0.767186423
BAE	0.140721916	0.939266023
BAE	0.497674018	0.523518263
MAE	0.286957271	0.8518694
MAE	0.468513094	0.499009304
BAE	0.175094762	0.609708822
MAE	0.600663336	0.351567884
MAE	0.241126809	0.976610958
MAE	0.802851482	0.312370779
MAE	0.600706409	0.362551688
BAE	0.08494142	0.856779807
BAE	0.241514473	0.747329428
BAE	0.330031013	0.716230186
BAE	0.243711234	0.902524121
BAE	0.319434873	0.616428325
BAE	0.273862853	0.76128532
BAE	0.37396623	0.645244659
BAE	0.1053153	0.926990007
MAE	0.615997588	0.28049621
MAE	0.620132667	0.336750517
BAE	0.316333563	0.725491041
BAE	0.212095107	0.742203653
BAE	0.218642316	0.844073053
BAE	0.314481392	0.953437285
BAE	0.451154376	0.499483115
BAE	0.348165059	0.809312543
BAE	0.151059614	0.632451757
BAE	0.31077705	0.600060303
BAE	0.268134045	0.587353549
BAE	0.254996554	0.895115438
BAE	0.212396623	0.854712267
BAE	0.071416265	0.942841144
BAE	0.286914197	0.851007926
MAE	0.638094418	0.295615093
BAE	0.176128532	0.952403515
BAE	0.073569952	0.893780152
BAE	0.154763956	0.922208822
BAE	0.109794969	0.885337698
MAE	0.921562715	0.107339766
BAE	0.29040317	0.96592867
MAE	0.580074087	0.219633012
BAE	0.251206065	0.844374569
BAE	0.158597519	0.682417298
MAE	0.52705031	0.524724328
MAE	0.567970365	0.253359752
MAE	0.821631633	0.384734666
MAE	0.641023432	0.236216402
BAE	0.458175396	0.689136802
BAE	0.402782564	0.529591661
BAE	0.41712612	0.637103722
BAE	0.404419366	0.718039283
BAE	0.160492764	0.757064094
BAE	0.314309097	0.646795314
BAE	0.206883184	0.855918332
BAE	0.210199862	0.921088904
BAE	0.156702274	0.9571847
BAE	0.104023088	0.667039972
BAE	0.352127843	0.920959683
MAE	0.348854238	0.970063749
BAE	0.377369056	0.977817023
BAE	0.193056513	0.764601999
BAE	0.208347691	0.755384218
MAE	0.492892833	0.306340455
BAE	0.188921433	0.782176085
BAE	0.071028601	0.694951757
BAE	0.221097519	0.652136458
MAE	0.834338387	0.236862509
MAE	0.581064783	0.568099586
BAE	0.712525844	0.487422467
MAE	0.543547553	0.410665059
MAE	0.470752929	0.628359752
BAE	0.119228119	0.719417643
BAE	0.213947278	0.84794969
BAE	0.357512061	0.766238801
BAE	0.228980014	0.622114059
BAE	0.232813577	0.614231564
BAE	0.386586837	0.850361819
BAE	0.670528946	0.303540662
MAE	0.832313921	0.380901103
BAE	0.207960028	0.843383873
BAE	0.193961061	0.911741902
BAE	0.105444521	0.693659545
BAE	0.004781185	0.045787388
BAE	0.247157133	0.985699518
BAE	0.406357684	0.530970021
MAE	0.555651275	0.570597864
BAE	0.355530669	0.959726051
BAE	0.378144383	0.524164369
BAE	0.86164714	0.234148863
BAE	0.192711923	0.96730703
BAE	0.302980703	0.575594418
BAE	0.453868022	0.872415575
MAE	0.681986561	0.311337009
MAE	0.771838387	0.164972433
BAE	0.282563749	0.643177119
MAE	0.810518608	0.094029979
BAE	0.389085114	0.650930393
MAE	0.084553756	0.778299449
BAE	0.712913508	0.742677464
BAE	0.136242247	0.935647829
BAE	0.15838215	0.828006547
MAE	0.821545486	0.163206409
MAE	0.950637491	0.308063405
BAE	0.175654721	0.624095451
BAE	0.067841144	0.638482081
BAE	0.099457271	0.965842522
BAE	0.451068229	0.789972433
BAE	0.127627498	0.753747416
BAE	0.382279462	0.931986561
MAE	0.666480014	0.454427981
BAE	0.381590283	0.656142316
BAE	0.409674363	0.606952102
BAE	0.186767746	0.791480014
BAE	0.490652998	0.801257753
BAE	0.332744659	0.666523088
BAE	0.31146623	0.625818401
BAE	0.375129221	0.824431427
BAE	0.39675224	0.868452791
BAE	0.363413163	0.521709166
BAE	0.409458994	0.601783253
BAE	0.180651275	0.611388697
BAE	0.286268091	0.864834597
BAE	0.20188663	0.660363542
BAE	0.168676775	0.703437285
BAE	0.112250172	0.830246382
BAE	0.234407305	0.744658856
BAE	0.467737767	0.589421089
BAE	0.16609235	0.909674363
MAE	0.436035493	0.617332874
BAE	0.120821847	0.913809442
BAE	0.231736733	0.709166092
MAE	0.959123019	0.166867677
BAE	0.270890765	0.540015507
BAE	0.527351826	0.509002412
MAE	0.70925224	0.233459683
MAE	0.789929359	0.347088215
BAE	0.165876981	0.948182288
BAE	0.301300827	0.644167815
MAE	0.783468298	0.48526878
BAE	0.050310131	0.565859752
BAE	0.19912991	0.929832874
BAE	0.167643005	0.907736044
MAE	0.637232943	0.152481048
BAE	0.439481392	0.784674363
BAE	0.161397312	0.81353377
BAE	0.091660924	0.579212612
BAE	0.376981392	0.960329083
BAE	0.286871123	0.630944176
BAE	0.378445899	0.624612336
BAE	0.150715024	0.913206409
BAE	0.42276878	0.694822536
MAE	0.899164369	0.271795314
BAE	0.218082357	0.907176085
BAE	0.333692281	0.753402826
BAE	0.113068573	0.688361475
BAE	0.460199862	0.727429359
BAE	0.224069607	0.822708477
BAE	0.442841144	0.914929359
BAE	0.267272571	0.727860096
BAE	0.103893866	0.859708822
BAE	0.322622329	0.800310131
BAE	0.38443315	0.670916609
BAE	0.523345968	0.470365265
BAE	0.340196416	0.726654032
BAE	0.060130944	0.744400414
BAE	0.151102688	0.732770503
MAE	0.32585286	0.743065127
BAE	0.166867677	0.720709855
BAE	0.14330634	0.853506203
BAE	0.233115093	0.690084425
BAE	0.458821502	0.617677464
BAE	0.115265334	0.606650586
MAE	0.770890765	0.33356306
MAE	0.289326327	0.680780496
MAE	0.589291868	0.307374225
BAE	0.337008959	0.756633356
MAE	0.116126809	0.918547553
BAE	0.121898691	0.891626465
BAE	0.381116471	0.898044452
BAE	0.118969676	0.933020331
BAE	0.201800482	0.79880255
BAE	0.232210544	0.964421089
BAE	0.306038939	0.937672295
BAE	0.414584769	0.782606823
MAE	0.466100965	0.831753963
BAE	0.107038249	0.802248449
BAE	0.178971399	0.865265334
BAE	0.281400758	0.767703308
BAE	0.13662991	0.875646106
MAE	0.888266713	0.276878015
MAE	0.782563749	0.444348725
BAE	0.160923501	0.905970021
MAE	0.099155755	0.709381461
BAE	0.220063749	0.731133701
BAE	0.431641971	0.762835975
MAE	0.677506892	0.338430393
BAE	0.316850448	0.927205376
BAE	0.369745003	0.711750517
BAE	0.374913853	0.839119573
MAE	0.521019986	0.543892143
BAE	0.460845968	0.564481392
BAE	0.375172295	0.572105445
BAE	0.319047209	0.607167471
MAE	0.615006892	0.494314266
BAE	0.077748105	0.905194693
MAE	0.521881461	0.395632323
BAE	0.423371813	0.666221571
BAE	0.212052033	0.629781185
BAE	0.2148949	0.712655065
BAE	0.336879738	0.918719848
BAE	0.242462095	0.740825293
BAE	0.094546864	0.81318918
BAE	0.128230531	0.759002412
MAE	0.246554101	0.699732943
BAE	0.497717092	0.435389387
BAE	0.624526189	0.482727429
BAE	0.244400414	0.773259821
BAE	0.225663336	0.815515162
BAE	0.290704686	0.639171261
MAE	0.419710544	0.594589938
BAE	0.142315644	0.818271881
BAE	0.325594418	0.817841144
BAE	0.137017574	0.783899035
BAE	0.148345968	0.702015851
BAE	0.429660579	0.630427292
BAE	0.261156099	0.935389387
BAE	0.165360096	0.830590972
BAE	0.158812888	0.954341833
MAE	0.627239835	0.390118884
BAE	0.29315989	0.771019986
BAE	0.32412991	0.692195038
BAE	0.280323915	0.622329428
BAE	0.113800827	0.837482771
BAE	0.20257581	0.687026189
BAE	0.164584769	0.895589249
BAE	0.374095451	0.643866299
MAE	0.654031702	0.438447622
BAE	0.131116471	0.796648863
BAE	0.357425913	0.682675741
MAE	0.54604583	0.532133012
BAE	0.33080634	0.709295314
BAE	0.209855272	0.947450034
BAE	0.551946933	0.528170227
BAE	0.261414542	0.885122329
BAE	0.074302205	0.894081668
MAE	0.878230531	0.199646795
BAE	0.259777739	0.726438663
BAE	0.071890076	0.707916954
BAE	0.204298759	0.955031013
BAE	0.394038594	0.66919366
MAE	0.561595451	0.343297726
MAE	0.536225017	0.245821847
BAE	0.386931427	0.635854583
BAE	0.745434183	0.452532736
BAE	0.068874914	0.888266713
BAE	0.375990696	0.5428153
MAE	0.90769297	0.219159201
BAE	0.358330462	0.904031702
BAE	0.368538939	0.924879394
BAE	0.081969331	0.905022398
BAE	0.067754997	0.932374225
BAE	0.037991041	0.827317367
BAE	0.200422123	0.858373535
BAE	0.122717092	0.689696761
BAE	0.390032736	0.555780496
BAE	0.296993453	0.584726051
BAE	0.259519297	0.616557547
BAE	0.295658167	0.759045486
BAE	0.734708822	0.522829083
BAE	0.222906616	0.795055134
BAE	0.412517229	0.584639904
BAE	0.058063405	0.897398346
MAE	0.477515507	0.577834252
BAE	0.219977602	0.743022054
BAE	0.432115782	0.675094762
BAE	0.16643694	0.880427292
MAE	0.850706409	0.321071675
BAE	0.067625775	0.773733632
BAE	0.368754307	0.574776017
BAE	0.385294624	0.714507236
MAE	0.768047898	0.126852171
BAE	0.447450034	0.942195038
BAE	0.138266713	0.908683666
BAE	0.202015851	0.902308753
BAE	0.235096485	0.969288422
BAE	0.350318746	0.578221916
BAE	0.175697795	0.853549276
BAE	0.575939008	0.499440041
BAE	0.279160924	0.894943143
BAE	0.452705031	0.568702619
BAE	0.343340799	0.841100965
BAE	0.017272571	0.58115093
MAE	0.950422123	0.130168849
BAE	0.662818746	0.584467609
MAE	0.884648518	0.388912819
MAE	0.60600448	0.545485872
BAE	0.190730531	0.928109924
BAE	0.141755686	0.972863542
BAE	0.184657133	0.592005513
BAE	0.245821847	0.66884907
BAE	0.340110269	0.680909717
BAE	0.266798759	0.904979325
BAE	0.077145072	0.815170572
BAE	0.270546175	0.898432116
MAE	0.737723983	0.519986216
BAE	0.227817023	0.636457615
BAE	0.123923156	0.886888353
BAE	0.22790317	0.764645072
BAE	0.204901792	0.899508959
BAE	0.173759476	0.81215541
BAE	0.251938318	0.832012405
BAE	0.134691592	0.904634735
BAE	0.425999311	0.568745693
BAE	0.45050827	0.582012405
BAE	0.374698484	0.900585803
BAE	0.517703308	0.576240524
BAE	0.107899724	0.82055479
BAE	0.556297381	0.539498622
MAE	0.490782219	0.502799793
BAE	0.357856651	0.933494142
BAE	0.240179187	0.716316334
BAE	0.289972433	0.633528601
BAE	0.3202102	0.689266023
BAE	0.205375603	0.694090283
BAE	0.257064094	0.728850793
BAE	0.186509304	0.705978635
BAE	0.336362853	0.756461061
BAE	0.446114748	0.58287388
BAE	0.309872502	0.700766713
BAE	0.498320124	0.981133701
BAE	0.688792212	0.390808063
BAE	0.330117161	0.56146623
BAE	0.274681254	0.606521365
BAE	0.204815644	0.609450379
BAE	0.640808063	0.510208477
MAE	0.811423156	0.450422123
MAE	0.755254997	0.281099242
BAE	0.264558925	0.859407305
BAE	0.278687112	0.580720193
BAE	0.089162646	0.880470365
MAE	0.857598208	0.243452791
BAE	0.437198484	0.483718125
MAE	0.606305996	0.266712612
BAE	0.447019297	0.587267402
MAE	0.872458649	0.170141282
BAE	0.24931082	0.708390765
BAE	0.517143349	0.696631633
BAE	0.311035493	0.569779462
BAE	0.319564094	0.963602688
BAE	0.414757064	0.887362164
BAE	0.455978635	0.956753963
BAE	0.305866644	0.91079428
BAE	0.688275327	0.285621985
BAE	0.393866299	0.494788077
BAE	0.10290317	0.806082012
BAE	0.11625603	0.720752929
MAE	0.73561337	0.26266368
BAE	0.41747071	0.61164714
BAE	0.256934873	0.905797726
BAE	0.117203653	0.89778601
BAE	0.317539628	0.788421778
BAE	0.369055824	0.532649897
MAE	0.760036182	0.370994142
MAE	0.718728463	0.22824776
BAE	0.291006203	0.937543074
BAE	0.256202619	0.649767402
MAE	0.701455892	0.218125431
BAE	0.412603377	0.916523088
BAE	0.183752584	0.94589938
BAE	0.522699862	0.842866988
BAE	0.612939352	0.342823915
BAE	0.057331151	0.869098897
BAE	0.323699173	0.773604411
MAE	0.62224328	0.520287733
BAE	0.142660234	0.902007236
BAE	0.792039972	0.218168504
BAE	0.122630944	0.778730186
BAE	0.22157133	0.647182977
MAE	0.716402481	0.253058236
MAE	0.387749828	0.738197795
BAE	0.301516196	0.828695727
BAE	0.486948656	0.552377671
BAE	0.338215024	0.654160924
BAE	0.193314955	0.682718815
BAE	0.618108201	0.51128532
MAE	0.596399035	0.565988973
BAE	0.187629221	0.820813232
MAE	0.778600965	0.309097174
BAE	0.305349759	0.683752584
BAE	0.365351482	0.602644728
BAE	0.361948656	0.788723294
BAE	0.252455203	0.676516196
BAE	0.151188835	0.669882839
MAE	0.509863887	0.48699173
BAE	0.383916265	0.809269469
BAE	0.073828394	0.794925913
BAE	0.394426258	0.576714335
MAE	0.839162646	0.205203308
BAE	0.18185734	0.552937629
BAE	0.17449173	0.630685734
BAE	0.230272226	0.900628877
BAE	0.280582357	0.904419366
BAE	0.16712612	0.741428325
BAE	0.436293935	0.551602343
BAE	0.287991041	0.814266023
MAE	0.871123363	0.198096141
BAE	0.35565989	0.870563405
BAE	0.407520675	0.625775327
MAE	0.69658856	0.381417988
BAE	0.158942109	0.707400069
BAE	0.377325982	0.651231909
BAE	0.340325637	0.601912474
BAE	0.372329428	0.57124397
BAE	0.215024121	0.514343556
BAE	0.16079428	0.666609235
BAE	0.171778084	0.930651275
MAE	0.699388353	0.472648174
MAE	0.706280152	0.291609235
BAE	0.466014817	0.712741213
BAE	0.24758787	0.791738456
BAE	0.538637147	0.612250172
BAE	0.122157133	0.842737767
BAE	0.521450724	0.69658856
BAE	0.376938318	0.655237767
BAE	0.204083391	0.817884218
BAE	0.109536527	0.850835631
BAE	0.305780496	0.747157133
BAE	0.330461751	0.769727774
BAE	0.325422123	0.577360441
BAE	0.225921778	0.698354583
BAE	0.185389387	0.804359063
MAE	0.483804273	0.555737422
BAE	0.385208477	0.597648174
BAE	0.324689869	0.694262578
BAE	0.150413508	0.708433839
BAE	0.310518608	0.717350103
BAE	0.295830462	0.922251895
BAE	0.360484149	0.629393522
BAE	0.706753963	0.548414886
MAE	0.447536182	0.624956926
BAE	0.303669883	0.922984149
BAE	0.119831151	0.765334252
MAE	0.846312888	0.17518091
BAE	0.369917298	0.777351826
BAE	0.37741213	0.503359752
BAE	0.236431771	0.880556513
BAE	0.259045486	0.869185045
BAE	0.275370434	0.936509304
BAE	0.248535493	0.874698484
BAE	0.262835975	0.645761544
MAE	0.257279462	0.941850448
BAE	0.58851654	0.510682288
BAE	0.454384907	0.617246726
MAE	0.188404549	0.691936595
BAE	0.490136113	0.613327016
BAE	0.315127498	0.62327705
BAE	0.268607857	0.885639214
BAE	0.414627843	0.731392143
BAE	0.238283942	0.852386285
BAE	0.226438663	0.914670917
BAE	0.462224328	0.808149552
BAE	0.359450379	0.785062026
BAE	0.147570641	0.602817023
BAE	0.445727085	0.52808408
BAE	0.209295314	0.765980358
MAE	0.465713301	0.46455031
BAE	0.410621985	0.925396278
MAE	0.402093384	0.606909028
BAE	0.290446244	0.796476568
BAE	0.321631633	0.867892833
BAE	0.312543074	0.819779462
BAE	0.23423501	0.919710544
MAE	0.517789456	0.61233632
BAE	0.388223639	0.684570986
BAE	0.131891799	0.690213646
BAE	0.167729152	0.921304273
BAE	0.25598725	0.959553756
BAE	0.322320813	0.936983115
BAE	0.349801861	0.773992074
BAE	0.077705031	0.694219504
BAE	0.066118194	0.766023432
BAE	0.204471054	0.967694693
BAE	0.221528256	0.812801516
BAE	0.248449345	0.96097519
BAE	0.231262922	0.788034114
BAE	0.508959338	0.523862853
BAE	0.304057547	0.900068918
MAE	0.494400414	0.580978635
MAE	0.625559959	0.355487595
BAE	0.25736561	0.971958994
BAE	0.257193315	0.800827016
BAE	0.371424879	0.727170917
BAE	0.395416954	0.649552033
BAE	0.387965196	0.778600965
BAE	0.165230875	0.78269297
BAE	0.125301516	0.790489318
BAE	0.490868367	0.963042729
BAE	0.428928325	0.592780841
BAE	0.308278773	0.637792901
BAE	0.393694004	0.560561682
BAE	0.238628532	0.959209166
BAE	0.155065472	0.708476912
BAE	0.173544108	0.946287043
BAE	0.236560992	0.735182633
BAE	0.202101999	0.861001034
BAE	0.362293246	0.75
BAE	0.281443832	0.745563405
BAE	0.406142316	0.529677808
BAE	0.18922295	0.822923846
BAE	0.212568918	0.74724328
BAE	0.148389042	0.734062715
BAE	0.107425913	0.787775672
BAE	0.149552033	0.857899724
MAE	0.439739835	0.531702274
BAE	0.162344935	0.875732254
BAE	0.300439352	0.831064783
BAE	0.211104411	0.811035493
BAE	0.400758098	0.820425569
BAE	0.277954859	0.660406616
BAE	0.111001034	0.743538939
BAE	0.278299449	0.85462612
BAE	0.05754652	0.785535837
BAE	0.183623363	0.891066506
MAE	0.66113887	0.231435217
BAE	0.169236733	0.839636458
BAE	0.183451068	0.674922467
BAE	0.382925569	0.847648174
BAE	0.376249139	0.797294969
BAE	0.293461406	0.828135768
BAE	0.211405927	0.883270159
BAE	0.166221571	0.966919366
BAE	0.254307374	0.68922295
BAE	0.247674018	0.873449345
MAE	0.79005858	0.406573053
BAE	0.474457271	0.640463473
BAE	0.160191247	0.709682977
BAE	0.394900069	0.826025155
MAE	0.768737078	0.527136458
BAE	0.348337354	0.626464507
BAE	0.242246726	0.784631289
BAE	0.283252929	0.689825982
BAE	0.36268091	0.582141626
BAE	0.261026878	0.943444176
BAE	0.286009649	0.515937285
BAE	0.322234666	0.954944866
BAE	0.271235355	0.807848036
MAE	0.657391454	0.225534114
BAE	0.20016368	0.792643005
BAE	0.270201585	0.857296692
BAE	0.149422812	0.853075465
BAE	0.350275672	0.768090972
BAE	0.217350103	0.696674707
MAE	0.239877671	0.627972088
BAE	0.060346313	0.824259132
BAE	0.347906616	0.530883873
BAE	0.323914542	0.597691247
BAE	0.504651964	0.981779807
BAE	0.243625086	0.853850793
BAE	0.339076499	0.69279807
BAE	0.345666782	0.684312543
BAE	0.068271881	0.818185734
BAE	0.333476912	0.914886285
BAE	0.618194349	0.383140937
BAE	0.366772915	0.723165059
BAE	0.20360958	0.858761199
BAE	0.293073742	0.958089249
BAE	0.254350448	0.945813232
BAE	0.119314266	0.710458305
BAE	0.368969676	0.517057202
BAE	0.142272571	0.966833218
MAE	0.585113715	0.523604411
BAE	0.14145417	0.95856306
BAE	0.345494487	0.897527567
MAE	0.556254307	0.568530324
BAE	0.322536182	0.85497071
MAE	0.544107512	0.491859063
BAE	0.284674363	0.864403859
BAE	0.101998622	0.692367333
BAE	0.415446244	0.58494142
BAE	0.282822192	0.732512061
BAE	0.506374914	0.463430393
BAE	0.244529635	0.937758442
BAE	0.343685389	0.753144383
BAE	0.317668849	0.682761888
BAE	0.342220882	0.836190558
BAE	0.317625775	0.95050827
BAE	0.284889731	0.713215024
BAE	0.410406616	0.844116127
BAE	0.448613025	0.540790834
BAE	0.387232943	0.735096485
BAE	0.412861819	0.780237767
BAE	0.208864576	0.894727774
BAE	0.222131289	0.776619573
BAE	0.207658511	0.955117161
BAE	0.239403859	0.621726396
BAE	0.317582702	0.56814266
BAE	0.286181943	0.623018608
MAE	0.416738456	0.703394211
BAE	0.483287388	0.888482081
BAE	0.517617161	0.9648949
BAE	0.048242591	0.80582357
BAE	0.214765679	0.960458305
BAE	0.400930393	0.835199862
MAE	0.438275327	0.907865265
BAE	0.202489662	0.80685734
MAE	0.536397312	0.492332874
BAE	0.469719159	0.655410062
BAE	0.260423846	0.93082357
BAE	0.19025672	0.848509649
BAE	0.377110613	0.704341833
BAE	0.090799449	0.791350793
BAE	0.454772571	0.801731564
BAE	0.251636802	0.824302205
BAE	0.336492074	0.540575465
BAE	0.143521709	0.904850103
BAE	0.287344935	0.758313232
BAE	0.133097864	0.769038594
MAE	0.370994142	0.715411785
BAE	0.317711923	0.666566161
MAE	0.607512061	0.177033081
BAE	0.429359063	0.974974156
MAE	0.465368711	0.5077102
BAE	0.483115093	0.627670572
BAE	0.344029979	0.822450034
BAE	0.48733632	0.76231909
BAE	0.34127326	0.902782564
BAE	0.367720538	0.737853205
BAE	0.510294624	0.956969331
MAE	0.371511027	0.620649552
BAE	0.315429014	0.926386975
BAE	0.421175052	0.917729152
BAE	0.462482771	0.849500345
BAE	0.361819435	0.859019642
BAE	0.2619745	0.938232254
BAE	0.208735355	0.707701585
